Phase,Phase_Name,Phase_Description,ID,Question,Type,Category,Required,Options,Help Text,Industry,Subcategory
3,Customer Profile,Understanding your target customers,experience_levels,What experience levels do you cater to?,multi_select,customer_profile,TRUE,Beginners|Intermediate|Advanced|All levels|Kids|Seniors,,Fitness & Wellness,All
3,Customer Profile,Understanding your target customers,group_sizes,What group sizes do you typically serve?,multi_select,customer_profile,TRUE,Individuals|Couples|Small groups (3-6)|Medium groups (7-15)|Large groups (16-30)|Extra large (30+),,Entertainment,All
3,Customer Profile,Understanding your target customers,event_types,What types of events do you cater to?,multi_select,customer_profile,TRUE,Birthday parties|Corporate events|Team building|Bachelor/Bachelorette|Family gatherings|Date nights|Kids parties|School groups,,Entertainment,All
3,Customer Profile,Understanding your target customers,special_occasions_focus,Which special occasions are most important for your business?,multi_select,customer_profile,TRUE,Birthdays|Anniversaries|Graduations|Holidays|Date nights|Family reunions|Corporate milestones,,Entertainment,All
3,Customer Profile,Understanding your target customers,customer_type,Who are your primary customers?,multi_select,customer_profile,TRUE,Homeowners|Renters|Property managers|Businesses|Real estate agents,,Home Services,All
3,Customer Profile,Understanding your target customers,guest_type,What type of guests do you primarily serve?,multi_select,customer_profile,TRUE,Business travelers|Leisure travelers|Families|Couples|Solo travelers|Groups|Long-term stays,,Hospitality,All
3,Customer Profile,Understanding your target customers,client_type,Who are your primary clients?,multi_select,customer_profile,TRUE,Individuals|Small businesses|Medium businesses|Large corporations|Non-profits|Government,,Professional Services,All
4,Products & Services,What you offer to customers,cuisine_type,What type of cuisine do you offer?,text,business_info,TRUE,,,Food & Drink,All
4,Products & Services,What you offer to customers,dining_style,What is your dining style?,multiple_choice,business_info,TRUE,Fast casual|Fine dining|Quick service|Take-out focused|Delivery focused|Dine-in focused,,Food & Drink,All
4,Products & Services,What you offer to customers,menu_highlights,What are your signature/best-selling items?,text,business_info,TRUE,,List 3-5 items you want to promote,Food & Drink,All
4,Products & Services,What you offer to customers,dietary_options,What dietary options do you offer?,multi_select,business_info,TRUE,Vegetarian|Vegan|Gluten-free|Halal|Kosher|Keto|Low-carb|Organic,,Food & Drink,All
4,Products & Services,What you offer to customers,average_check_size,What is your average check size per customer?,multiple_choice,operations,TRUE,Under $10|$10-$20|$20-$35|$35-$50|$50-$75|$75+,,Food & Drink,All
4,Products & Services,What you offer to customers,meal_periods,Which meal periods do you serve?,multi_select,operations,TRUE,Breakfast|Brunch|Lunch|Afternoon/Tea time|Dinner|Late night,,Food & Drink,All
4,Products & Services,What you offer to customers,drink_program,Do you have a notable drink/beverage program?,multiple_choice,business_info,TRUE,Full bar|Beer and wine|Specialty coffee|Specialty tea|Fresh juices/smoothies|No special program,,Food & Drink,All
4,Products & Services,What you offer to customers,inventory_to_promote,Are there specific items you need to move more quickly (excess inventory seasonal items)?,text,operations,FALSE,,,Food & Drink,All
4,Products & Services,What you offer to customers,product_categories,What are your main product categories?,text,business_info,TRUE,,List 3-5 main categories,Retail,All
4,Products & Services,What you offer to customers,price_range,What is your typical product price range?,multiple_choice,business_info,TRUE,Under $25|$25-$50|$50-$100|$100-$250|$250-$500|$500+|Wide range,,Retail,All
4,Products & Services,What you offer to customers,bestsellers,What are your top-selling products?,text,business_info,TRUE,,,Retail,All
4,Products & Services,What you offer to customers,seasonal_products,Do you carry seasonal products?,boolean,operations,TRUE,,,Retail,All
4,Products & Services,What you offer to customers,brand_partnerships,Do you carry specific brands or your own products?,multiple_choice,business_info,TRUE,Exclusively branded products|Mix of brands|Own brand/products|Curated selection,,Retail,All
4,Products & Services,What you offer to customers,gift_services,Do you offer gift wrapping or gift services?,boolean,business_info,TRUE,,,Retail,All
4,Products & Services,What you offer to customers,services_offered,What services do you offer?,text,business_info,TRUE,,List all your main services,Health & Beauty,All
4,Products & Services,What you offer to customers,service_duration,What is the typical duration of your services?,multiple_choice,operations,TRUE,15-30 minutes|30-60 minutes|1-2 hours|2-3 hours|3+ hours|Varies widely,,Health & Beauty,All
4,Products & Services,What you offer to customers,practitioner_count,How many practitioners/stylists work at your location?,number,operations,TRUE,,,Health & Beauty,All
4,Products & Services,What you offer to customers,premium_services,Do you offer premium or luxury service tiers?,boolean,business_info,TRUE,,,Health & Beauty,All
4,Products & Services,What you offer to customers,product_sales,Do you sell products (shampoos skincare etc.)?,boolean,business_info,TRUE,,,Health & Beauty,All
4,Products & Services,What you offer to customers,membership_structure,What membership or pricing structure do you use?,multi_select,business_info,TRUE,Monthly membership|Annual membership|Class packages|Drop-in rates|Unlimited plans|Tiered memberships,,Fitness & Wellness,All
4,Products & Services,What you offer to customers,class_schedule,How many classes do you offer per week?,multiple_choice,operations,TRUE,1-5 classes|6-10 classes|11-20 classes|20-30 classes|30+ classes|Open gym/No classes,,Fitness & Wellness,All
4,Products & Services,What you offer to customers,personal_training,Do you offer personal training or one-on-one sessions?,boolean,business_info,TRUE,,,Fitness & Wellness,All
4,Products & Services,What you offer to customers,amenities,What amenities do you offer?,multi_select,business_info,TRUE,Showers|Lockers|Parking|Towel service|Juice bar|Retail products|Childcare|WiFi lounge,,Fitness & Wellness,All
4,Products & Services,What you offer to customers,service_types,What types of services do you offer?,text,business_info,TRUE,,List your main service categories,Automotive Services,All
4,Products & Services,What you offer to customers,vehicle_types,What types of vehicles do you service?,multi_select,business_info,TRUE,Sedans|SUVs|Trucks|Luxury vehicles|Electric vehicles|Motorcycles|Classic cars|Fleet vehicles,,Automotive Services,All
4,Products & Services,What you offer to customers,waiting_area,Do you have a customer waiting area?,boolean,business_info,TRUE,,,Automotive Services,All
4,Products & Services,What you offer to customers,seasonal_services,Do you have seasonal services (e.g. winterization AC check)?,boolean,business_info,TRUE,,,Automotive Services,All
4,Products & Services,What you offer to customers,service_area,What is your service radius?,multiple_choice,operations,TRUE,5 miles|10 miles|15 miles|20 miles|25+ miles|Entire region,,Home Services,All
4,Products & Services,What you offer to customers,emergency_services,Do you offer emergency or same-day services?,boolean,business_info,TRUE,,,Home Services,All
4,Products & Services,What you offer to customers,job_size,What size jobs do you typically handle?,multi_select,business_info,TRUE,Small repairs/fixes|Medium projects|Large renovations|Commercial projects|All sizes,,Home Services,All
4,Products & Services,What you offer to customers,service_guarantees,Do you offer warranties or service guarantees?,boolean,business_info,TRUE,,,Home Services,All
4,Products & Services,What you offer to customers,pet_types,What types of pets do you service?,multi_select,business_info,TRUE,Dogs|Cats|Birds|Small animals (rabbits guinea pigs)|Reptiles|Fish|Exotic pets,,Pet Services,All
4,Products & Services,What you offer to customers,pet_products,Do you sell pet products or supplies?,boolean,business_info,TRUE,,,Pet Services,All
4,Products & Services,What you offer to customers,room_count,How many rooms/units do you have?,number,operations,TRUE,,,Hospitality,All
4,Products & Services,What you offer to customers,amenities_hospitality,What amenities do you offer?,multi_select,business_info,TRUE,Breakfast|WiFi|Parking|Pool|Gym|Restaurant|Bar|Spa|Pet-friendly|Kitchen facilities,,Hospitality,All
4,Products & Services,What you offer to customers,minimum_stay,Do you have minimum stay requirements?,multiple_choice,operations,TRUE,No minimum|2 nights|3 nights|Week minimum|Varies by season,,Hospitality,All
4,Products & Services,What you offer to customers,service_delivery,How do you deliver your services?,multi_select,operations,TRUE,In-person|Virtual/Online|Hybrid|On-site at client location,,Professional Services,All
4,Products & Services,What you offer to customers,specializations,What are your areas of specialization?,text,business_info,TRUE,,List your key specialties or niches,Professional Services,All
4,Products & Services,What you offer to customers,pricing_model,What is your pricing model?,multi_select,business_info,TRUE,Hourly rate|Project-based|Retainer|Package pricing|Value-based,,Professional Services,All
4,Products & Services,What you offer to customers,certifications,Do you have relevant certifications or credentials to promote?,boolean,business_info,TRUE,,,Professional Services,All
5,Booking & Operations,How customers access your services,booking_system,How do clients book appointments?,multi_select,operations,TRUE,Walk-ins welcome|Online booking|Phone only|App|Social media DMs,,Health & Beauty,All
5,Booking & Operations,How customers access your services,cancellation_rate,What percentage of appointments get cancelled or no-showed?,multiple_choice,operations,TRUE,Less than 5%|5-10%|10-20%|20-30%|More than 30%,,Health & Beauty,All
5,Booking & Operations,How customers access your services,appointment_fill_rate,How booked are you typically?,multiple_choice,operations,TRUE,Always fully booked|80-100% booked|60-80% booked|40-60% booked|Under 40% booked,,Health & Beauty,All
5,Booking & Operations,How customers access your services,peak_class_times,When are your classes most popular?,multi_select,operations,TRUE,Early morning (5-7 AM)|Morning (7-10 AM)|Mid-day (10 AM-2 PM)|After work (5-7 PM)|Evening (7-9 PM)|Weekends,,Fitness & Wellness,All
5,Booking & Operations,How customers access your services,under_utilized_slots,Which time slots are typically under-booked?,text,operations,TRUE,,This helps us suggest targeted deals for these times,Fitness & Wellness,All
5,Booking & Operations,How customers access your services,booking_lead_time,How far in advance do customers typically book?,multiple_choice,operations,TRUE,Same day|1-3 days|1 week|2-4 weeks|1+ months,,Entertainment,All
5,Booking & Operations,How customers access your services,capacity_per_slot,What is your maximum capacity per time slot?,number,operations,TRUE,,,Entertainment,All
5,Booking & Operations,How customers access your services,utilization_rate,What percentage of your capacity is typically filled?,multiple_choice,operations,TRUE,90-100%|70-90%|50-70%|30-50%|Under 30%,,Entertainment,All
5,Booking & Operations,How customers access your services,last_minute_bookings,Can you accommodate last-minute bookings?,boolean,operations,TRUE,,,Entertainment,All
5,Booking & Operations,How customers access your services,appointment_system,How do customers schedule services?,multi_select,operations,TRUE,Walk-in|By appointment|Online booking|Phone|Mobile app,,Automotive Services,All
5,Booking & Operations,How customers access your services,service_duration_auto,What is the typical service duration?,multiple_choice,operations,TRUE,Under 30 minutes|30-60 minutes|1-2 hours|2-4 hours|Half day|Full day+,,Automotive Services,All
5,Booking & Operations,How customers access your services,scheduling_flexibility,How far in advance do customers need to book?,multiple_choice,operations,TRUE,Same day available|1-2 days|3-7 days|1-2 weeks|2+ weeks,,Home Services,All
5,Booking & Operations,How customers access your services,seasonal_demand,Which seasons are busiest for you?,multi_select,operations,TRUE,Spring|Summer|Fall|Winter|Consistent year-round,,Home Services,All
5,Booking & Operations,How customers access your services,appointment_based,Are your services appointment-based or walk-in?,multiple_choice,operations,TRUE,Appointment only|Walk-in only|Both options|Drop-off service,,Pet Services,All
5,Booking & Operations,How customers access your services,service_duration_pets,How long do services typically take?,multiple_choice,operations,TRUE,Under 30 min|30-60 min|1-2 hours|2-4 hours|Half day|Full day|Overnight,,Pet Services,All
5,Booking & Operations,How customers access your services,booking_window,How far in advance do guests typically book?,multiple_choice,operations,TRUE,Same day|1-3 days|1 week|2-4 weeks|1-3 months|3+ months,,Hospitality,All
5,Booking & Operations,How customers access your services,occupancy_rate,What is your average occupancy rate?,multiple_choice,operations,TRUE,90-100%|70-90%|50-70%|30-50%|Under 30%,,Hospitality,All
5,Booking & Operations,How customers access your services,low_season,When is your low season?,multi_select,operations,TRUE,January-February|March-April|May-June|July-August|September-October|November-December|No clear low season,,Hospitality,All
5,Booking & Operations,How customers access your services,cancellation_policy,What is your cancellation policy?,multiple_choice,operations,TRUE,Flexible (free cancellation)|Moderate (24-48 hrs)|Strict (7+ days)|Non-refundable options available,,Hospitality,All
5,Booking & Operations,How customers access your services,engagement_length,What is the typical length of client engagement?,multiple_choice,operations,TRUE,One-time|Short-term (weeks)|Medium-term (months)|Long-term (6+ months)|Ongoing retainer,,Professional Services,All
5,Booking & Operations,How customers access your services,capacity_constraints,Are you currently at capacity or looking for more clients?,multiple_choice,operations,TRUE,At capacity|Mostly booked|Moderate availability|Actively seeking clients,,Professional Services,All
6,Marketing & Promotions,Your marketing strategy and goals,typical_discount_range,What discount range are you comfortable offering?,multiple_choice,marketing,TRUE,5-10%|10-20%|20-30%|30-50%|50%+|BOGO/Bundle deals only,,Core,All
6,Marketing & Promotions,Your marketing strategy and goals,marketing_goals,What are your primary marketing goals? (Select all that apply),multi_select,goals,TRUE,Increase foot traffic|Boost sales during slow periods|Attract new customers|Build customer loyalty|Increase average transaction value|Promote specific products/services|Build brand awareness|Increase social media engagement,,Core,All
6,Marketing & Promotions,Your marketing strategy and goals,previous_successful_promotions,Describe any promotions that worked well for you in the past,text,marketing,FALSE,,This helps the AI learn what resonates with your customers,Core,All
6,Marketing & Promotions,Your marketing strategy and goals,competitor_awareness,What do your competitors typically offer in terms of deals?,text,marketing,FALSE,,,Core,All
6,Marketing & Promotions,Your marketing strategy and goals,happy_hour_interest,Are you interested in promoting happy hour or off-peak specials?,boolean,marketing,TRUE,,,Food & Drink,All
6,Marketing & Promotions,Your marketing strategy and goals,inventory_turnover,How often do you introduce new products or refresh inventory?,multiple_choice,operations,TRUE,Weekly|Bi-weekly|Monthly|Seasonally|A few times a year|Rarely,,Retail,All
6,Marketing & Promotions,Your marketing strategy and goals,clearance_frequency,How often do you need to clear inventory?,multiple_choice,operations,TRUE,Weekly|Monthly|Seasonally|Occasionally|Rarely,,Retail,All
6,Marketing & Promotions,Your marketing strategy and goals,online_presence,Do you sell online as well?,multiple_choice,operations,TRUE,Yes with full e-commerce|Yes through social media|Planning to|No in-store only,,Retail,All
6,Marketing & Promotions,Your marketing strategy and goals,loyalty_program,Do you have a loyalty or rewards program?,boolean,marketing,TRUE,,,Retail,All
6,Marketing & Promotions,Your marketing strategy and goals,membership_packages,Do you offer memberships or package deals?,boolean,marketing,TRUE,,,Health & Beauty,All
6,Marketing & Promotions,Your marketing strategy and goals,first_time_specials,Do you offer first-time client specials?,boolean,marketing,TRUE,,,Health & Beauty,All
6,Marketing & Promotions,Your marketing strategy and goals,trial_classes,Do you offer trial classes or free sessions?,boolean,marketing,TRUE,,,Fitness & Wellness,All
6,Marketing & Promotions,Your marketing strategy and goals,member_retention_goal,What is your primary challenge?,multiple_choice,goals,TRUE,Attracting new members|Retaining current members|Filling specific class times|Upselling services|Building community,,Fitness & Wellness,All
6,Marketing & Promotions,Your marketing strategy and goals,referral_program,Do you have a member referral program?,boolean,marketing,TRUE,,,Fitness & Wellness,All
6,Marketing & Promotions,Your marketing strategy and goals,packages_available,Do you offer packages or bundles?,boolean,marketing,TRUE,,,Entertainment,All
6,Marketing & Promotions,Your marketing strategy and goals,package_deals,Do you offer service packages?,boolean,marketing,TRUE,,,Automotive Services,All
6,Marketing & Promotions,Your marketing strategy and goals,maintenance_reminders,Do you send maintenance reminders to customers?,boolean,marketing,TRUE,,,Automotive Services,All
6,Marketing & Promotions,Your marketing strategy and goals,free_estimates,Do you provide free estimates or consultations?,boolean,marketing,TRUE,,,Home Services,All
6,Marketing & Promotions,Your marketing strategy and goals,package_deals_pets,Do you offer package deals or memberships?,boolean,marketing,TRUE,,,Pet Services,All
6,Marketing & Promotions,Your marketing strategy and goals,multi_pet_discount,Do you offer discounts for multiple pets?,boolean,marketing,TRUE,,,Pet Services,All
6,Marketing & Promotions,Your marketing strategy and goals,seasonal_services_pets,Do you have seasonal services or promotions?,boolean,marketing,TRUE,,,Pet Services,All
6,Marketing & Promotions,Your marketing strategy and goals,special_packages,Do you offer special packages (romance adventure etc.)?,boolean,marketing,TRUE,,,Hospitality,All
6,Marketing & Promotions,Your marketing strategy and goals,consultation_process,Do you offer free initial consultations?,boolean,marketing,TRUE,,,Professional Services,All
6,Marketing & Promotions,Your marketing strategy and goals,referral_sources,Where do most of your clients come from?,multi_select,marketing,TRUE,Referrals|Online search|Social media|Networking events|Previous clients|Partnerships|Advertising,,Professional Services,All
7,Industry Specific,Additional details about your specific business type,restaurant_seating,What is your seating capacity?,number,operations,TRUE,,,Food & Drink,Restaurant
7,Industry Specific,Additional details about your specific business type,restaurant_reservation,Do you accept reservations?,boolean,operations,TRUE,,,Food & Drink,Restaurant
7,Industry Specific,Additional details about your specific business type,cafe_work_friendly,Is your cafe work/study-friendly?,boolean,business_info,TRUE,,,Food & Drink,Cafe/Coffee Shop
7,Industry Specific,Additional details about your specific business type,cafe_wifi,Do you offer free WiFi?,boolean,business_info,TRUE,,,Food & Drink,Cafe/Coffee Shop
7,Industry Specific,Additional details about your specific business type,bakery_specialties,What are your specialty baked goods?,multi_select,business_info,TRUE,Bread|Pastries|Cakes|Cookies|Custom cakes|Dietary-specific items,,Food & Drink,Bakery
7,Industry Specific,Additional details about your specific business type,bakery_custom_orders,Do you take custom orders for events?,boolean,operations,TRUE,,,Food & Drink,Bakery
7,Industry Specific,Additional details about your specific business type,bar_type,What type of bar are you?,multiple_choice,business_info,TRUE,Sports bar|Cocktail bar|Pub|Wine bar|Nightclub|Lounge,,Food & Drink,Bar
7,Industry Specific,Additional details about your specific business type,bar_entertainment,What entertainment do you offer?,multi_select,business_info,TRUE,Live music|DJ|Trivia nights|Sports on TV|Karaoke|Games/Pool tables|None,,Food & Drink,Bar
7,Industry Specific,Additional details about your specific business type,electronics_warranty,Do you offer warranties or protection plans?,boolean,business_info,TRUE,,,Retail,Electronics & Gadgets
7,Industry Specific,Additional details about your specific business type,electronics_repairs,Do you offer repair or tech support services?,boolean,business_info,TRUE,,,Retail,Electronics & Gadgets
7,Industry Specific,Additional details about your specific business type,apparel_style,What style of clothing do you specialize in?,multi_select,business_info,TRUE,Casual|Formal|Athletic/Activewear|Streetwear|Vintage|Designer|Sustainable,,Retail,Clothing & Apparel
7,Industry Specific,Additional details about your specific business type,salon_specialties,What are your salon specialties?,multi_select,business_info,TRUE,Hair cutting|Hair coloring|Hair treatments|Styling|Extensions|Keratin treatments|Bridal services,,Health & Beauty,Salon
7,Industry Specific,Additional details about your specific business type,spa_types,What types of massage/spa services do you offer?,multi_select,business_info,TRUE,Swedish massage|Deep tissue|Hot stone|Aromatherapy|Couples massage|Facials|Body treatments,,Health & Beauty,Spa & Massage
